engine_temperature,engine_rpm,vehicle_speed,battery_voltage,battery_health,oil_temperature,coolant_temperature,brake_condition,tire_pressure,engine_vibration,fuel_level,engine_load,current_fault
79.92254902877194,864,4.350174788122105,11.2,55,75.73059192264797,77.4907387123833,99.99650091285051,32.027516691508595,0.86,99.97699539019959,10,low_battery
80.05370973870734,888,6.973682700082518,11.2,55,74.20848042182162,77.69602338337916,99.99193061044895,32.0725980218306,0.81,99.95202387669282,10,low_battery
80.15540143649106,937,5.296090926922497,11.2,55,75.75782493721601,77.55845589892341,99.98588076524358,32.05650030787222,0.67,99.87351063717917,10,low_battery
79.93892956015588,1000,9.672229859014237,11.2,55,74.69407394911768,77.92520425621692,99.97891974046023,32.03816799483841,1.01,99.80178706078254,10,low_battery
80.01938766052487,1015,6.321682360932245,11.2,55,75.37861464496727,77.515595546634,99.97269617643735,32.05039912047267,0.72,99.73692877702976,10,low_battery
80.22112228834816,991,4.3014950414325375,11.2,55,75.5771509909316,77.95980635389579,99.96756957607967,32.09858403204315,0.95,99.70524196029795,10,low_battery
80.11384014329792,1077,8.119696512137047,11.2,55,75.11401305167102,76.79261764836258,99.96238535871416,32.11979470666858,0.75,99.65495245921568,10,low_battery
80.18756977181722,902,7.142106177395978,11.2,55,75.90158382423292,76.83761807451309,99.95964252986066,32.11170679368699,0.82,99.58215562120434,10,low_battery
80.22450561026366,1077,11.278570798954384,11.2,55,74.50450759320171,77.84918384242461,99.95172321870831,32.120684317397306,0.91,99.54558454532182,10,low_battery
80.43424173816507,1150,14.64309178609957,11.2,55,74.64285829802058,77.1477332817354,99.94612532079199,32.07354575166813,0.87,99.49870722565235,10,low_battery
80.76125999231822,1277,16.224572550543513,11.2,55,76.47242416824439,77.56135046770488,99.9425386114022,32.06298241663742,0.94,99.45291140566898,11.463156456551806,low_battery
80.63519927414205,1187,13.977705634726721,11.2,55,75.50923258971181,77.56962407983808,99.93899375705327,32.07702812375158,0.97,99.42386644384355,10,low_battery
